stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Atlantic, Southwest Patagonian grenadier",1.09,0.79,1.29,1.4,full_ensemble,1.1
"Atlantic, Southwest Patagonian squid",0.58,1.54,0.95,1.33,full_ensemble,1.44
"Atlantic, Southwest Patagonian toothfish",0.48,1.03,1.9,1.19,full_ensemble,0.88
"Atlantic, Southwest Pigletfish",0.56,0.69,1.37,1.49,full_ensemble,1.07
"Atlantic, Southwest Pink cusk-eel",1.03,1.64,1.94,1.62,full_ensemble,1.23
"Atlantic, Southwest Red grouper",0.48,0.54,0.86,1.35,full_ensemble,0.7
"Atlantic, Southwest Red searobin",1.03,1.67,1.95,1.43,full_ensemble,1.18
"Atlantic, Southwest Redspotted shrimp",1.16,0.93,1.42,1.49,full_ensemble,0.9
"Atlantic, Southwest Ridge scaled rattail",0.82,0.57,1.96,1.78,full_ensemble,1.32
"Atlantic, Southwest Sea bass",0.45,0.57,0.33,1.54,full_ensemble,0.71
"Atlantic, Southwest Serra Spanish mackerel",0.32,0.53,0.12,1.36,full_ensemble,0.48
"Atlantic, Southwest Skipjack tuna",1.05,1.36,1.27,1.33,full_ensemble,1.18
"Atlantic, Southwest Southern blue whiting",0.33,0.39,0.08,0.94,full_ensemble,0.71
"Atlantic, Southwest Southern hake",0.53,0.51,1.65,1.36,full_ensemble,0.77
"Atlantic, Southwest Southern red snapper",0.53,0.59,1.21,1.37,full_ensemble,0.74
"Atlantic, Southwest Striped weakfish",1.04,0.98,1.67,1.45,full_ensemble,0.91
"Atlantic, Southwest Swordfish",0.53,1.16,1.46,1.33,full_ensemble,1.17
"Atlantic, Southwest Tadpole codling",1.41,0.61,0.01,1.62,full_ensemble,1.27
"Atlantic, Southwest Tarpon",0.44,0.45,1.83,1.66,full_ensemble,0.78
"Atlantic, Southwest Whitemouth croaker",1.24,1.02,1.67,1.56,full_ensemble,1.28
"Atlantic, Southwest Yellowfin tuna",1,1.14,1.89,1.45,full_ensemble,0.95
"Atlantic, Southwest Yellowtail snapper",1.19,1.35,1.54,1.54,full_ensemble,1.16
"Atlantic, Western Central Albacore",0.41,0.57,1.99,1.05,full_ensemble,1.16
"Atlantic, Western Central Alewife",0.26,0.36,0.01,0.32,full_ensemble,1
"Atlantic, Western Central American cupped oyster",0.47,1.04,1.81,1.37,full_ensemble,1.02
"Atlantic, Western Central Atlantic anchoveta",0.31,0.48,0.02,1.31,full_ensemble,0.65
"Atlantic, Western Central Atlantic bonito",0.43,0.79,0.5,1.35,full_ensemble,0.73
"Atlantic, Western Central Atlantic croaker",0.28,0.43,0.03,1.33,full_ensemble,0.55
"Atlantic, Western Central Atlantic moonfish",0.54,0.9,1.9,1.44,full_ensemble,1.16
"Atlantic, Western Central Atlantic seabob",1.02,0.7,1.87,1.39,full_ensemble,1.31
"Atlantic, Western Central Atlantic thread herring",0.58,0.7,0.92,1.22,full_ensemble,1.25
"Atlantic, Western Central Bastard halibut",0.32,0.37,0.14,1.66,full_ensemble,0.58
"Atlantic, Western Central Bigeye scad",0.5,0.85,1.38,1.14,full_ensemble,0.92
"Atlantic, Western Central Bigeye tuna",0.53,0.69,0.76,1.28,full_ensemble,1.11
"Atlantic, Western Central Black drum",1.01,0.86,0.47,1.5,full_ensemble,1.05
"Atlantic, Western Central Black stone crab",1.08,0.73,1.42,1.18,full_ensemble,0.9
"Atlantic, Western Central Blackfin tuna",1.14,0.94,1.7,1.53,full_ensemble,1.01
"Atlantic, Western Central Blue crab",1.21,0.66,1.77,1.53,full_ensemble,1.3
"Atlantic, Western Central Caribbean spiny lobster",1.17,0.78,1.56,1.31,full_ensemble,0.85
